observation_date,DEXUSUK
1980-01-05,2.2370
1980-01-12,2.2570
1980-01-19,2.2855
1980-01-26,2.2610
1980-02-02,2.2740
1980-02-09,2.2980
1980-02-16,2.2950
1980-02-23,2.2745
1980-03-01,2.2730
1980-03-08,2.2270
1980-03-15,2.2130
1980-03-22,2.1835
1980-03-29,2.1690
1980-04-05,2.1350
1980-04-12,2.1950
1980-04-19,2.2185
1980-04-26,2.2735
1980-05-03,2.2555
1980-05-10,2.2670
1980-05-17,2.2840
1980-05-24,2.3440
1980-05-31,2.3425
1980-06-07,2.3318
1980-06-14,2.3425
1980-06-21,2.3350
1980-06-28,2.3470
1980-07-05,2.3483
1980-07-12,2.3777
1980-07-19,2.3742
1980-07-26,2.3905
1980-08-02,2.3330
1980-08-09,2.3720
1980-08-16,2.3795
1980-08-23,2.3655
1980-08-30,2.3960
1980-09-06,2.4130
1980-09-13,2.4135
1980-09-20,2.3855
1980-09-27,2.3915
1980-10-04,2.3883
1980-10-11,2.4028
1980-10-18,2.4130
1980-10-25,2.4400
1980-11-01,2.4365
1980-11-08,2.4180
1980-11-15,2.4030
1980-11-22,2.3585
1980-11-29,2.3575
1980-12-06,2.3390
1980-12-13,2.3235
1980-12-20,2.3410
1980-12-27,2.3790
1981-01-03,2.3820
1981-01-10,2.3950
1981-01-17,2.3935
1981-01-24,2.4070
1981-01-31,2.3655
1981-02-07,2.3400
1981-02-14,2.2845
1981-02-21,2.3100
1981-02-28,2.2040
1981-03-07,2.1925
1981-03-14,2.2170
1981-03-21,2.2630
1981-03-28,2.2260
1981-04-04,2.1950
1981-04-11,2.1850
1981-04-18,2.1540
1981-04-25,2.1670
1981-05-02,2.1430
1981-05-09,2.1155
1981-05-16,2.0745
1981-05-23,2.0725
1981-05-30,2.0700
1981-06-06,1.9300
1981-06-13,1.9570
1981-06-20,1.9720
1981-06-27,1.9490
1981-07-04,1.8930
1981-07-11,1.8925
1981-07-18,1.8815
1981-07-25,1.8622
1981-08-01,1.8400
1981-08-08,1.7905
1981-08-15,1.8020
1981-08-22,1.8765
1981-08-29,1.8490
1981-09-05,1.8430
1981-09-12,1.7790
1981-09-19,1.8340
1981-09-26,1.7855
1981-10-03,1.8180
1981-10-10,1.9010
1981-10-17,1.8310
1981-10-24,1.8205
1981-10-31,1.8620
1981-11-07,1.8750
1981-11-14,1.9070
1981-11-21,1.8970
1981-11-28,1.9560
1981-12-05,1.9415
1981-12-12,1.8775
1981-12-19,1.8775
1981-12-26,1.8930
1982-01-02,1.9150
1982-01-09,1.9200
1982-01-16,1.8700
1982-01-23,1.8705
1982-01-30,1.8790
1982-02-06,1.8605
1982-02-13,1.8490
1982-02-20,1.8525
1982-02-27,1.8200
1982-03-06,1.8375
1982-03-13,1.7975
1982-03-20,1.7990
1982-03-27,1.7900
1982-04-03,1.7875
1982-04-10,1.7540
1982-04-17,1.7600
1982-04-24,1.7720
1982-05-01,1.7945
1982-05-08,1.8262
1982-05-15,1.8235
1982-05-22,1.7975
1982-05-29,1.7910
1982-06-05,1.7950
1982-06-12,1.7745
1982-06-19,1.7385
1982-06-26,1.7190
1982-07-03,1.7310
1982-07-10,1.7245
1982-07-17,1.7240
1982-07-24,1.7665
1982-07-31,1.7380
1982-08-07,1.7140
1982-08-14,1.7020
1982-08-21,1.7415
1982-08-28,1.7360
1982-09-04,1.7305
1982-09-11,1.7125
1982-09-18,1.7130
1982-09-25,1.7085
1982-10-02,1.6980
1982-10-09,1.7045
1982-10-16,1.7040
1982-10-23,1.6980
1982-10-30,1.6770
1982-11-06,1.6625
1982-11-13,1.6518
1982-11-20,1.6195
1982-11-27,1.5925
1982-12-04,1.6410
1982-12-11,1.6100
1982-12-18,1.6000
1982-12-25,1.6000
1983-01-01,1.6180
1983-01-08,1.6100
1983-01-15,1.5810
1983-01-22,1.5675
1983-01-29,1.5362
1983-02-05,1.5245
1983-02-12,1.5405
1983-02-19,1.5435
1983-02-26,1.5270
1983-03-05,1.5110
1983-03-12,1.5027
1983-03-19,1.4875
1983-03-26,1.4600
1983-04-02,1.4780
1983-04-09,1.5050
1983-04-16,1.5488
1983-04-23,1.5430
1983-04-30,1.5573
1983-05-07,1.5790
1983-05-14,1.5665
1983-05-21,1.5562
1983-05-28,1.6018
1983-06-04,1.5650
1983-06-11,1.5705
1983-06-18,1.5230
1983-06-25,1.5455
1983-07-02,1.5310
1983-07-09,1.5415
1983-07-16,1.5165
1983-07-23,1.5205
1983-07-30,1.5200
1983-08-06,1.4850
1983-08-13,1.4815
1983-08-20,1.5170
1983-08-27,1.5045
1983-09-03,1.4950
1983-09-10,1.4940
1983-09-17,1.5020
1983-09-24,1.5027
1983-10-01,1.4977
1983-10-08,1.5090
1983-10-15,1.4994
1983-10-22,1.5018
1983-10-29,1.4950
1983-11-05,1.4880
1983-11-12,1.4910
1983-11-19,1.4695
1983-11-26,1.4595
1983-12-03,1.4572
1983-12-10,1.4350
1983-12-17,1.4150
1983-12-24,1.4315
1983-12-31,1.4515
1984-01-07,1.4070
1984-01-14,1.4100
1984-01-21,1.4005
1984-01-28,1.4035
1984-02-04,1.4310
1984-02-11,1.4143
1984-02-18,1.4510
1984-02-25,1.4725
1984-03-03,1.4810
1984-03-10,1.4625
1984-03-17,1.4450
1984-03-24,1.4360
1984-03-31,1.4375
1984-04-07,1.4300
1984-04-14,1.4290
1984-04-21,1.4160
1984-04-28,1.4015
1984-05-05,1.4080
1984-05-12,1.3835
1984-05-19,1.3867
1984-05-26,1.3830
1984-06-02,1.4035
1984-06-09,1.3935
1984-06-16,1.3785
1984-06-23,1.3633
1984-06-30,1.3575
1984-07-07,1.3162
1984-07-14,1.3235
1984-07-21,1.3232
1984-07-28,1.3110
1984-08-04,1.3270
1984-08-11,1.3125
1984-08-18,1.3220
1984-08-25,1.3050
1984-09-01,1.3075
1984-09-08,1.2730
1984-09-15,1.2660
1984-09-22,1.2450
1984-09-29,1.2340
1984-10-06,1.2375
1984-10-13,1.2230
1984-10-20,1.1915
1984-10-27,1.2220
1984-11-03,1.2510
1984-11-10,1.2605
1984-11-17,1.2540
1984-11-24,1.2200
1984-12-01,1.1970
1984-12-08,1.2035
1984-12-15,1.1935
1984-12-22,1.1730
1984-12-29,1.1630
1985-01-05,1.1535
1985-01-12,1.1245
1985-01-19,1.1195
1985-01-26,1.1100
1985-02-02,1.1240
1985-02-09,1.1090
1985-02-16,1.1020
1985-02-23,1.0765
1985-03-02,1.0720
1985-03-09,1.0640
1985-03-16,1.0840
1985-03-23,1.1725
1985-03-30,1.2360
1985-04-06,1.1985
1985-04-13,1.2545
1985-04-20,1.2930
1985-04-27,1.2160
1985-05-04,1.2070
1985-05-11,1.2335
1985-05-18,1.2650
1985-05-25,1.2585
1985-06-01,1.2860
1985-06-08,1.2680
1985-06-15,1.2800
1985-06-22,1.2870
1985-06-29,1.3095
1985-07-06,1.3270
1985-07-13,1.3850
1985-07-20,1.3990
1985-07-27,1.4090
1985-08-03,1.3710
1985-08-10,1.3575
1985-08-17,1.3995
1985-08-24,1.4010
1985-08-31,1.3910
1985-09-07,1.3250
1985-09-14,1.3400
1985-09-21,1.3670
1985-09-28,1.4025
1985-10-05,1.4155
1985-10-12,1.4115
1985-10-19,1.4280
1985-10-26,1.4220
1985-11-02,1.4410
1985-11-09,1.4167
1985-11-16,1.4217
1985-11-23,1.4550
1985-11-30,1.4890
1985-12-07,1.4785
1985-12-14,1.4365
1985-12-21,1.4250
1985-12-28,1.4360
1986-01-04,1.4380
1986-01-11,1.4545
1986-01-18,1.4367
1986-01-25,1.3940
1986-02-01,1.4120
1986-02-08,1.3990
1986-02-15,1.4183
1986-02-22,1.4465
1986-03-01,1.4460
1986-03-08,1.4525
1986-03-15,1.4610
1986-03-22,1.5015
1986-03-29,1.4740
1986-04-05,1.4510
1986-04-12,1.4760
1986-04-19,1.5180
1986-04-26,1.5440
1986-05-03,1.5220
1986-05-10,1.5425
1986-05-17,1.5255
1986-05-24,1.4940
1986-05-31,1.4723
1986-06-07,1.5045
1986-06-14,1.5235
1986-06-21,1.4990
1986-06-28,1.5290
1986-07-05,1.5455
1986-07-12,1.5040
1986-07-19,1.5045
1986-07-26,1.4825
1986-08-02,1.4850
1986-08-09,1.4730
1986-08-16,1.4940
