"date","value"
2006-03-03,15663.33984375
2006-03-06,15901.16015625
2006-03-07,15726.01953125
2006-03-08,15627.490234375
2006-03-09,16036.91015625
2006-03-10,16115.6298828125
2006-03-13,16361.509765625
2006-03-14,16238.3603515625
2006-03-15,16319.0400390625
2006-03-16,16096.2099609375
2006-03-17,16339.73046875
2006-03-20,16624.80078125
2006-03-22,16495.48046875
2006-03-23,16489.369140625
2006-03-24,16560.869140625
2006-03-27,16650.099609375
2006-03-28,16690.240234375
2006-03-29,16938.41015625
2006-03-30,17045.33984375
2006-03-31,17059.66015625
2006-04-03,17333.310546875
2006-04-04,17292.91015625
2006-04-05,17243.98046875
2006-04-06,17489.330078125
2006-04-07,17563.369140625
2006-04-10,17456.580078125
2006-04-11,17418.130859375
2006-04-12,17162.55078125
2006-04-13,17199.150390625
2006-04-14,17233.8203125
2006-04-17,17000.359375
2006-04-18,17232.859375
2006-04-19,17350.119140625
2006-04-20,17317.529296875
2006-04-21,17403.9609375
2006-04-24,16914.400390625
2006-04-25,16970.2890625
2006-04-26,17055.9296875
2006-04-27,17114.5390625
2006-04-28,16906.23046875
2006-05-01,16925.7109375
2006-05-02,17153.76953125
2006-05-08,17291.669921875
2006-05-09,17190.91015625
2006-05-10,16951.9296875
2006-05-11,16862.140625
2006-05-12,16601.779296875
2006-05-15,16486.91015625
2006-05-16,16158.419921875
2006-05-17,16307.669921875
2006-05-18,16087.1796875
2006-05-19,16155.4501953125
2006-05-22,15857.8701171875
2006-05-23,15599.2001953125
2006-05-24,15907.2001953125
2006-05-25,15693.75
2006-05-26,15970.759765625
2006-05-29,15915.6796875
2006-05-30,15859.4501953125
2006-05-31,15467.330078125
2006-06-01,15503.740234375
2006-06-02,15789.3095703125
2006-06-05,15668.3095703125
2006-06-06,15384.8603515625
2006-06-07,15096.009765625
2006-06-08,14633.0302734375
2006-06-09,14750.83984375
2006-06-12,14833.009765625
2006-06-13,14218.599609375
2006-06-14,14309.5595703125
2006-06-15,14470.759765625
2006-06-16,14879.33984375
2006-06-19,14860.349609375
2006-06-20,14648.41015625
2006-06-21,14644.259765625
2006-06-22,15135.6904296875
2006-06-23,15124.0400390625
2006-06-26,15152.400390625
2006-06-27,15171.8095703125
2006-06-28,14886.1103515625
2006-06-29,15121.150390625
2006-06-30,15505.1796875
2006-07-03,15571.6201171875
2006-07-04,15638.5
2006-07-05,15523.9404296875
2006-07-06,15321.400390625
2006-07-07,15307.6103515625
2006-07-10,15552.8095703125
2006-07-11,15473.8203125
2006-07-12,15249.3203125
2006-07-13,15097.9501953125
2006-07-14,14845.240234375
2006-07-18,14437.240234375
2006-07-19,14500.259765625
2006-07-20,14946.83984375
2006-07-21,14821.259765625
2006-07-24,14794.5
2006-07-25,15005.240234375
2006-07-26,14884.0703125
2006-07-27,15179.7802734375
2006-07-28,15342.8701171875
2006-07-31,15456.8095703125
2006-08-01,15440.91015625
2006-08-02,15464.2900390625
2006-08-03,15470.3701171875
2006-08-04,15499.1796875
2006-08-07,15154.0595703125
2006-08-08,15464.66015625
2006-08-09,15656.58984375
2006-08-10,15630.91015625
2006-08-11,15565.01953125
2006-08-14,15857.1103515625
2006-08-15,15816.1904296875
2006-08-16,16071.3603515625
2006-08-17,16020.83984375
2006-08-18,16105.98046875
2006-08-21,15969.0400390625
2006-08-22,16181.169921875
2006-08-23,16163.0302734375
2006-08-24,15960.6201171875
2006-08-25,15938.66015625
2006-08-28,15762.58984375
2006-08-29,15890.5595703125
2006-08-30,15872.01953125
2006-08-31,16140.759765625
2006-09-01,16134.25
2006-09-04,16358.0703125
2006-09-05,16385.9609375
2006-09-06,16284.08984375
2006-09-07,16012.41015625
2006-09-08,16080.4599609375
2006-09-11,15794.3798828125
2006-09-12,15719.33984375
2006-09-13,15750.0498046875
2006-09-14,15942.3896484375
2006-09-15,15866.9296875
2006-09-19,15874.2802734375
2006-09-20,15718.669921875
2006-09-21,15834.23046875
2006-09-22,15634.669921875
2006-09-25,15633.8095703125
2006-09-26,15557.4501953125
2006-09-27,15947.8701171875
2006-09-28,16024.849609375
2006-09-29,16127.580078125
2006-10-02,16254.2900390625
2006-10-03,16242.08984375
2006-10-04,16082.5498046875
2006-10-05,16449.330078125
2006-10-06,16436.060546875
2006-10-10,16477.25
2006-10-11,16400.5703125
2006-10-12,16368.8095703125
2006-10-13,16536.5390625
2006-10-16,16692.759765625
2006-10-17,16611.58984375
2006-10-18,16653
2006-10-19,16551.359375
2006-10-20,16651.630859375
2006-10-23,16788.8203125
2006-10-24,16780.470703125
2006-10-25,16699.30078125
2006-10-26,16811.599609375
2006-10-27,16669.0703125
2006-10-30,16351.849609375
2006-10-31,16399.390625
2006-11-01,16375.259765625
2006-11-02,16350.01953125
2006-11-06,16364.759765625
2006-11-07,16393.41015625
2006-11-08,16215.740234375
2006-11-09,16198.5703125
2006-11-10,16112.4296875
2006-11-13,16022.490234375
2006-11-14,16289.5498046875
2006-11-15,16243.4697265625
2006-11-16,16163.8701171875
2006-11-17,16091.73046875
2006-11-20,15725.9404296875
2006-11-21,15734.1396484375
2006-11-22,15914.23046875
2006-11-24,15734.599609375
2006-11-27,15885.3798828125
2006-11-28,15855.259765625
2006-11-29,16076.2001953125
2006-11-30,16274.330078125
2006-12-01,16321.7802734375
2006-12-04,16303.58984375
2006-12-05,16265.759765625
2006-12-06,16371.2802734375
2006-12-07,16473.359375
2006-12-08,16417.8203125
2006-12-11,16527.990234375
2006-12-12,16637.779296875
2006-12-13,16692.9296875
2006-12-14,16829.19921875
2006-12-15,16914.310546875
2006-12-18,16962.109375
2006-12-19,16776.880859375
2006-12-20,17011.0390625
2006-12-21,17047.830078125
2006-12-22,17104.9609375
2006-12-25,17092.890625
2006-12-26,17169.189453125
2006-12-27,17223.150390625
2006-12-28,17224.810546875
2006-12-29,17225.830078125
2007-01-04,17353.669921875
2007-01-05,17091.58984375
